gene_id	gene_name	Control1	Control2	Control4	Control5	Treated1	Treated2	Treated4	Treated5
ENSG00000000003	TSPAN6	1446	1588	1114	1805	1450	1062	1111	1426
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	535	471	729	624	696	445	637	677
ENSG00000000457	SCYL3	141	199	153	147	154	174	120	160
ENSG00000000460	FIRRM	44	61	72	98	96	57	62	40
ENSG00000000938	FGR	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	3477	2822	3394	3552	2186	2140	1429	1207
ENSG00000001036	FUCA2	3403	2248	3564	3138	3533	2375	2976	2576
ENSG00000001084	GCLC	2355	1027	659	839	733	542	1108	648
ENSG00000001167	NFYA	557	583	398	391	556	519	537	616
ENSG00000001460	STPG1	198	334	293	510	430	334	331	337
ENSG00000001461	NIPAL3	1777	3532	3299	5887	5630	4324	3842	5319
ENSG00000001497	LAS1L	565	791	676	910	844	656	660	848
ENSG00000001561	ENPP4	288	379	791	850	937	500	1116	959
ENSG00000001617	SEMA3F	51	206	564	41	40	100	217	49
ENSG00000001626	CFTR	2	0	0	0	0	0	0	0
ENSG00000001629	ANKIB1	1263	1240	1522	1466	1542	1040	1464	1281
ENSG00000001630	CYP51A1	6305	3045	2673	5664	5106	2737	4513	5974
ENSG00000001631	KRIT1	418	561	431	510	443	423	486	375
ENSG00000002016	RAD52	140	166	118	138	113	168	76	174
ENSG00000002330	BAD	1709	1844	1346	1495	1598	1789	1165	1659
ENSG00000002549	LAP3	1547	1950	1900	1924	2075	1759	1846	1701
ENSG00000002586	CD99	5787	6331	3881	4983	3715	5879	3999	5264
ENSG00000002587	HS3ST1	32	13	165	14	69	39	71	12
ENSG00000002726	AOC1	0	0	0	0	0	0	0	0
ENSG00000002745	WNT16	0	6	0	0	4	5	0	0
ENSG00000002746	HECW1	68	0	3	19	17	0	2	24
ENSG00000002822	MAD1L1	453	624	542	447	598	475	485	444
ENSG00000002834	LASP1	8770	9519	13762	10454	13762	6809	12417	9199
ENSG00000002919	SNX11	306	409	490	568	538	429	524	519
ENSG00000002933	TMEM176A	0	0	0	0	0	0	0	0
ENSG00000003056	M6PR	2631	2614	3543	5102	5363	2049	4094	4850
ENSG00000003096	KLHL13	174	240	241	187	119	185	188	106
ENSG00000003137	CYP26B1	5	1	0	21	15	1	26	26
ENSG00000003147	ICA1	8	0	0	15	69	0	0	36
ENSG00000003249	DBNDD1	787	729	1075	675	1484	513	813	539
ENSG00000003393	ALS2	606	654	689	796	848	548	669	679
ENSG00000003400	CASP10	19	4	57	65	7	4	34	64
ENSG00000003402	CFLAR	1586	1608	1843	1837	1766	1409	1899	1497
ENSG00000003436	TFPI	1734	511	3273	1694	1726	669	2188	1069
ENSG00000003509	NDUFAF7	263	241	294	267	237	206	220	206
ENSG00000003756	RBM5	1748	1945	1389	1379	1453	1737	1287	1233
ENSG00000003987	MTMR7	42	22	35	40	23	18	42	26
ENSG00000003989	SLC7A2	128	14	109	44	43	12	112	22
ENSG00000004059	ARF5	1540	1908	1229	1216	1453	1695	1129	1365
ENSG00000004139	SARM1	383	884	451	1253	342	617	365	396
ENSG00000004142	POLDIP2	2234	2768	3111	3763	3151	2467	2586	3055
ENSG00000004399	PLXND1	3817	3039	7085	2514	1592	3082	7813	3243
ENSG00000004455	AK2	1111	1580	1861	1820	2098	1430	1904	1746
ENSG00000004468	CD38	0	0	0	0	0	0	0	1
ENSG00000004478	FKBP4	1807	2130	1935	2406	3165	2008	2125	2621
ENSG00000004487	KDM1A	953	1195	1144	1017	1279	947	972	1045
ENSG00000004534	RBM6	1304	1837	713	908	1010	1562	744	979
ENSG00000004660	CAMKK1	447	217	508	381	190	208	461	148
